site_name,basin_name,basin_classification,basin_evidence,basin_evidence_url,project_type,target_formation,status,operator,depth_m,porosity_pct,permeability_md,net_pay_m,temperature_c,pressure_mpa,storage_capacity,area_km2,primary_references
Quest CCS (Shell),Alberta Basin (Western Canada Sedimentary Basin),Foreland basin,Western Canada Sedimentary Basin — classic foreland basin formed by thrust loading during the Laramide orogeny; BCS is a Cambrian-Ordovician cratonic sandstone at the base of the sedimentary succession.,https://ags.aer.ca/publications/all-publications/prs-2024-001,CCS — deep saline aquifer storage,"Basal Cambrian Sands (BCS), Cambrian-Ordovician saline aquifer",Operational (injection since Nov 2015),Shell Canada Products,"~2,000 m (range 1,800-2,132 m MD; D-65 documents 2,105-2,132 m at injection wells; ~1,800 m at periphery) [https://open.alberta.ca/publications/quest-carbon-capture-and-storage-project-d-65-application]",17% (high-quality interval); 14% full-formation avg; core range 8-21% [https://doi.org/10.1016/j.egypro.2017.03.1630],"20-500 mD (D-65 well-test range); ~1,000 mD (optimistic end-member, single conference source) [https://open.alberta.ca/publications/quest-carbon-capture-and-storage-project-d-65-application]",30 m (perforated injection interval); gross 40-45 m; net sand ~38 m [https://open.alberta.ca/publications/quest-carbon-capture-and-storage-project-gen-4-reservoir-modeling-report],~60°C [https://open.alberta.ca/publications/quest-carbon-capture-and-storage-project-d-65-application],~21 MPa (initial hydrostatic) [https://open.alberta.ca/publications/quest-carbon-capture-and-storage-project-d-65-application],>7 Mt cumulative (as of 2023); target 25 Mt over 25 years [https://ags.aer.ca/publications/all-publications/prs-2024-001],"SLA ~3,667 km² (906,240 acres); AoR 461 km²; CO₂ plume ~29.3 km² [https://static.aer.ca/prd/documents/decisions/2012/2012-ABERCB-008.pdf]",https://open.alberta.ca/publications/quest-carbon-capture-and-storage-project-d-65-application; https://open.alberta.ca/publications/quest-carbon-capture-and-storage-project-gen-4-reservoir-modeling-report; https://ags.aer.ca/publications/all-publications/prs-2024-001; https://doi.org/10.1016/j.egypro.2017.03.1630; https://doi.org/10.1016/j.ijggc.2022.103718; https://static.aer.ca/prd/documents/decisions/2012/2012-ABERCB-008.pdf; https://www.searchanddiscovery.com/documents/2017/80577rock/ndx_rock.pdf
ACTL / Clive CCS (Enhance Energy),Alberta Basin (Western Canada Sedimentary Basin),Foreland basin,"Located on the Bashaw Reef Complex of the Rimbey-Meadowbrook reef chain, within the foreland-basin fill of the WCSB. The Leduc Formation is a Late Devonian carbonate platform developed on the Peace River Arch architecture.",https://cdnsciencepub.com/doi/10.1139/cjes-2012-0137,CO₂-EOR + associated saline aquifer storage,"Leduc Formation D-3A Pool (Upper Devonian, Woodbend Group), Bashaw Reef Complex",Operational (ACTL pipeline 2020; Clive CO₂-EOR ongoing),Enhance Energy Inc.,"1,845-1,938 m TVD (mean 1,874 m) [https://open.alberta.ca/publications/actl-dow-demonstration-summary-report]",6.1% (Enhance geo-model avg); regional Leduc range 5-20%; arithmetic mean ~8% [https://doi.org/10.1306/a25ff215-171b-11d7-8645000102c1865d],"30 mD (mode); regional arithmetic mean ~26 mD; range 1-1,000 mD [https://doi.org/10.1139/cjes-2012-0137]",8.75 m (perforated/net-pay); reservoir interval 35 m for storage [https://open.alberta.ca/publications/actl-dow-demonstration-summary-report],~69°C [https://open.alberta.ca/dataset/81932c1f-1e33-4a81-be18-27373cec105e/resource/daae5c3c-5480-458a-96a8-ae93b2f9609b/download/ccsactlreport2015.pdf],"~13 MPa (~13,000 kPag initial, modified by production) [https://open.alberta.ca/dataset/81932c1f-1e33-4a81-be18-27373cec105e/resource/daae5c3c-5480-458a-96a8-ae93b2f9609b/download/ccsactlreport2015.pdf]",18.8 Mt total; ~4-7 Mt injected (2024-25); ~14 Mt remaining [https://cleanprosperity.ca],"Pool ~25-40 km²; SLA 544,512 ha (~5,445 km² for Origins hub) [https://keyfactsenergy.com]",https://open.alberta.ca/publications/actl-dow-demonstration-summary-report; https://doi.org/10.1306/a25ff215-171b-11d7-8645000102c1865d; https://doi.org/10.1139/cjes-2012-0137; https://cleanprosperity.ca; https://open.alberta.ca/dataset/81932c1f-1e33-4a81-be18-27373cec105e/resource/daae5c3c-5480-458a-96a8-ae93b2f9609b/download/ccsactlreport2015.pdf; https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5068925; https://open.alberta.ca/dataset/90f61413-0ef1-45a4-9e1c-6bff7c23fd7e/resource/99fae078-1316-432b-8447-acd74bd1abb0/download/energy-actl-enhance-energy-clive-leduc-field-mmv-plan-2019-07.pdf
NWR Sturgeon Refinery CO₂ Capture,Alberta Basin (Western Canada Sedimentary Basin),Foreland basin,"Sturgeon County ~45 km NE of Edmonton, Alberta, within the WCSB foreland basin. The CO₂ captured here is transported via the ACTL pipeline to the Clive Leduc D-3A pool for CO₂-EOR and storage.",https://nwrsturgeonrefinery.com/project/carbon-capture-and-storage/,CO₂ capture-only (captured CO₂ transported via ACTL for EOR at Clive),N/A (capture facility — CO₂ injected into Leduc D-3A at Clive),Operational (capture started 2020; refinery operational since 2017),North West Redwater Partnership (NWRP) — 50/50 JV: CNRL + APMC,N/A (capture facility),N/A (capture facility),N/A (capture facility),N/A (capture facility),N/A (capture facility),N/A (capture facility),Design capture 1.2-1.3 Mtpa; cumulative >5 Mt captured (2020-2024) [https://nwrsturgeonrefinery.com/assets/uploads/2025/06/NWRP_MISSIONMATTERS_REPORT_2024_June-2_FINAL.pdf],N/A (capture facility),https://nwrsturgeonrefinery.com/project/carbon-capture-and-storage/; https://nwrsturgeonrefinery.com/assets/uploads/2025/06/NWRP_MISSIONMATTERS_REPORT_2024_June-2_FINAL.pdf; https://www.catf.us/resource/carbon-capture-storage-what-can-learn-from-project-track-record/; https://www.apmc.ca/public/download/files/247620; https://ccsknowledge.com/technical-studies/the-alberta-carbon-trunk-line-case-study/; https://open.alberta.ca/dataset/51dd6f66-30a0-4ae9-908f-db3730172fed/resource/2fa85ef5-6612-4dd5-b710-89807049263a/download/energy-actl-knowledge-sharing-2021-summary-report.pdf
Shell Polaris + Atlas Hub CCS,Alberta Basin (Western Canada Sedimentary Basin),Foreland basin,"BCS saline aquifer in the WCSB foreland basin, gentle regional SW dip (~5-10 m/km); located in the industrial heartland region of Alberta near Fort Saskatchewan.",https://ags.aer.ca/publications/all-publications/prs-2024-001,CCS — deep saline aquifer storage,"Basal Cambrian Sands (BCS), Cambrian-Ordovician","Under Construction (FID June 26, 2024; operations expected end-2028)",Shell Canada Products (Polaris) / Shell-ATCO EnPower JV (Atlas),"~2,000 m (range 1,800-2,100 m) [https://ags.aer.ca/publications/all-publications/prs-2024-001]",~10% (regional avg for Edmonton area); range <1% to >25% [https://ags.aer.ca/publications/all-publications/prs-2024-001],"1-2 mD (Edmonton-region avg, Hofmann 2013); basin-wide avg ~10 mD (Weides 2014) [https://pangea.stanford.edu/ERE/pdf/IGAstandard/SGW/2013/Hofmann.pdf]",~45 m (P50 estimate); regional range 17-115 m [https://ags.aer.ca/publications/all-publications/prs-2024-001],~76°C (site-specific estimate); regional range 65-120°C [https://ags.aer.ca/publications/all-publications/prs-2024-001],~20 MPa (estimated hydrostatic) [https://ags.aer.ca/publications/all-publications/prs-2024-001],"300 Mt (lifetime claimed, Contingent Resource); Phase 1 contracted ~20 Mt [https://majorprojects.alberta.ca/details/Shell-Polaris-Carbon-Capture-Project/4490]","10,312 km² (1,031,232 ha / 111 townships — CSA lease area) [https://chinookpetroleum.com/carbon-sequestration-projects-canada/]",https://ags.aer.ca/publications/all-publications/prs-2024-001; https://ags.aer.ca/publications/all-publications/prs-2023-001; https://pangea.stanford.edu/ERE/pdf/IGAstandard/SGW/2013/Hofmann.pdf; https://doi.org/10.1139/cjes-2012-0137; https://majorprojects.alberta.ca/details/Atlas-Carbon-Storage-Hub/11237
Wolf Lamont Carbon Hub,Alberta Basin (Western Canada Sedimentary Basin),Foreland basin,BCS in the Lloydminster Embayment of the WCSB foreland basin; Cambrian-Ordovician cratonic siliciclastic transgressive systems tract.,https://ags.aer.ca/publications/all-publications/prs-2024-001,CCS — deep saline aquifer storage,"Basal Cambrian Sandstone (BCS), Cambrian-Ordovician","AER Approved 10-Mar-2026 (Approval 13513, Directive 065); pre-injection",Wolf Midstream / Wolf Carbon Solutions / Whitecap Resources / FNCIP / Heart Lake First Nation,"~1,800-2,200 m (~5,900-7,200 ft) [https://dds.aer.ca/iar_query/viewApplication.aspx?appnumber=1959125]","~17% (formation-scale avg, Quest analog); regional variance 11-19% [https://ags.aer.ca/publications/all-publications/prs-2024-001]","~1,000 mD (formation-scale avg, Quest analog); range 1 mD to >1,000 mD [https://ags.aer.ca/publications/all-publications/prs-2024-001]",40-50 m (gross thickness inferred); regional BCS range 40-80 m [https://ags.aer.ca/publications/all-publications/prs-2024-001],65-80°C (expected at Lamont depth ~2 km) [https://ags.aer.ca/publications/all-publications/prs-2024-001],>7.38 MPa (supercritical threshold confirmed); specific formation pressure not published [https://ags.aer.ca/publications/all-publications/prs-2024-001],"19.2 Gt (Alberta BCS total, 2% efficiency factor); initial injection 2-3 Mtpa [https://albertainnovates.ca/wp-content/uploads/2024/03/CCUS-Whitepaper-Supplement-2-Carbon-Storage.pdf]",~839 km² (~324 mi² / ~9 townships — AER application boundary) [https://dds.aer.ca/iar_query/viewApplication.aspx?appnumber=1959125],https://dds.aer.ca/iar_query/viewApplication.aspx?appnumber=1959125; https://ags.aer.ca/publications/all-publications/prs-2024-001; https://ags.aer.ca/publications/all-publications/prs-2023-001; https://wolfmidstream.com/carbon/; https://albertainnovates.ca/wp-content/uploads/2024/03/CCUS-Whitepaper-Supplement-2-Carbon-Storage.pdf
Wabamun Carbon Hub (Enbridge),Alberta Basin (Western Canada Sedimentary Basin),Foreland basin,"WCSB foreland basin; targeting BSU (Cambrian-Ordovician) + Nisku Formation (Devonian) in the Wabamun Lake area, central Alberta.",https://ags.aer.ca/publications/all-publications/prs-2024-001,CCS — deep saline aquifer storage (BSU primary; Nisku secondary),Basal Sandstone Unit (BSU) — Cambrian-Ordovician deep saline aquifer (primary); Nisku Formation — Devonian carbonate (secondary),CSEA awarded March 2022; CSA signed October 2025; stratigraphic test wells drilled 2023-2024; pre-injection,Enbridge Inc. (through Enbridge Wabamun Holdings Inc.),"2,300-3,300 m (top BSU); Nisku secondary 1,550-2,200 m [https://ags.aer.ca/publications/all-publications/prs-2024-001]","8-12% (central value 10%, Weides 2014); Alberta Innovates regional 14.4% [https://doi.org/10.1139/cjes-2012-0137]",Low (matrix) ~0.01 mD; Mid (effective) ~0.1-1.6 mD; High (post-stim) ~1-10 mD (speculative) [https://doi.org/10.1139/cjes-2012-0137],~40 m (regional midpoint); BSU range 30-50 m for Wabamun area [https://ags.aer.ca/publications/all-publications/prs-2024-001],~80-115°C (expected at Wabamun); geothermal gradient 35.6°C/km [https://ags.aer.ca/publications/all-publications/prs-2024-001],"~23-33 MPa (hydrostatic estimate at 2,300-3,300 m); may be overpressured [https://ags.aer.ca/publications/all-publications/prs-2024-001]",Up to 4 Mt/yr total target (Heidelberg 780 kt/yr + Capital Power 3 Mt/yr discontinued May 2024); no public P50/P90 estimate [https://www.nrcan.gc.ca/climate-change/canadas-green-future/carbon-capture-utilization-and-storage],"~1,500 km² (CSA North Area, BSU); full tenure ~2,971 km² [https://carbonstorage.io/storage/wabamun-hub]",https://ags.aer.ca/publications/all-publications/prs-2024-001; https://doi.org/10.1139/cjes-2012-0137; https://www.nrcan.gc.ca/climate-change/canadas-green-future/carbon-capture-utilization-and-storage
Pathways Alliance CCS Hub,Alberta Basin (Western Canada Sedimentary Basin),Foreland basin,WCSB foreland basin formed by Laramide orogeny; hub located in northeastern Alberta (Cold Lake/Fort McMurray region) targeting the BCS saline aquifer.,https://ags.aer.ca/publications/all-publications/prs-2024-001,CCS — deep saline aquifer storage (BCS primary); secondary Mannville Group,Basal Cambrian Sandstone (BCS) — Cambrian-Ordovician; secondary: McMurray Fm / Clearwater Fm (Lower Cretaceous),Pre-FID; Tripartite MOU signed July 2026 (federal-provincial-industry); regulatory application filed Q1 2024; IAAC suspended Dec 2024,"Canadian Natural Resources Ltd. (lead), Cenovus, ConocoPhillips, Imperial Oil, Suncor","1,000-1,500 m (Cold Lake area) [https://ags.aer.ca/publications/all-publications/prs-2024-001]",N/A (not publicly available for Cold Lake hub; Quest analogue ~17%) [https://doi.org/10.1016/j.ijggc.2022.103718],N/A (not publicly available; estimated 1-10 mD based on AGS diagenetic framework) [https://ags.aer.ca/publications/all-publications/prs-2024-001],40-80 m gross (BCS regional range) [https://ags.aer.ca/publications/all-publications/prs-2024-001],N/A (site-specific not public; regional gradient applies),N/A (site-specific not public; hydrostatic to slightly overpressured regionally),MOU Phase 1: 6 Mtpa by 2035; total target: 16 Mtpa net by 2045; full build-out: up to 40 Mtpa by 2050 [https://www.cbc.ca/news/canada/edmonton/alberta-ottawa-pathways-oilsands-carbon-capture-9.7268392],"N/A (not publicly delineated for hub; BCS regional extent ~250,000 km²) [https://cdl.canadiandiscovery.com/study/regional-geological-ccs-assessment-of-the-basal-cambrian-sandstone]",https://ags.aer.ca/publications/all-publications/prs-2024-001; https://ags.aer.ca/publications/all-publications/prs-2023-001; https://ags.aer.ca/publications/all-publications/prs-2022-001; https://doi.org/10.1016/j.ijggc.2022.103718; https://majorprojects.alberta.ca/details/Pathways-Alliance-Carbon-Capture-Storage-Hub-Phase-1/10695; https://iaac-aeic.gc.ca/050/evaluations/proj/89090; https://www.cbc.ca/news/canada/edmonton/alberta-ottawa-pathways-oilsands-carbon-capture-9.7268392; https://oilsandsalliance.ca/pathways-project/; https://cdl.canadiandiscovery.com/study/regional-geological-ccs-assessment-of-the-basal-cambrian-sandstone
Origins CCS Hub (Enhance Energy),Alberta Basin (Western Canada Sedimentary Basin),Foreland basin,Located in central Alberta within the WCSB foreland basin; targeting Leduc Formation carbonate reefs of the Rimbey-Meadowbrook reef trend (Bashaw Reef Complex).,https://cdnsciencepub.com/doi/10.1139/cjes-2012-0137,CCS — pressure-depleted saline aquifer in dolomitized carbonate reef,"Leduc Formation (Upper Devonian, Woodbend Group), Lacombe Field",AER Approval No. 13463 issued 30 July 2025; pre-injection,Enhance Energy Inc.,"2,000 m (6,561 ft TVD) [https://www.carbonstorage.io/storage/origins-project]",6% (well avg) [https://www.carbonstorage.io/storage/origins-project],<10 to >100 mD (well range); regional Leduc avg ~26 mD [https://www.carbonstorage.io/storage/origins-project],137 m gross (450 ft) [https://www.carbonstorage.io/storage/origins-project],65°C (149°F) [https://www.carbonstorage.io/storage/origins-project],"15.3 MPa (2,219 psia initial); max allowable 20 MPa @ 2,070 m TVD [https://www.carbonstorage.io/storage/origins-project]","Phase 1: 28 Mt (1.6 Mt/yr × 17.5 yr); full-scale: up to 20 Mt/yr, several hundred Mt total [https://enhanceenergy.com/origins-ccs-hub-receives-approval/]","Plume: ~50 km² nominal (4 km radius), ~99 km² max (5.6 km radius); lease: ~10,082 km² [https://static.aer.ca/prd/documents/decisions/regulatory-appeal-decisions/1959099-20260414.pdf]",https://www.carbonstorage.io/storage/origins-project; https://enhanceenergy.com/origins-ccs-hub-receives-approval/; https://enhanceenergy.com/enhance-announces-origins-project; https://static.aer.ca/prd/documents/decisions/regulatory-appeal-decisions/1959099-20260414.pdf; https://cdnsciencepub.com/doi/10.1139/cjes-2012-0137; https://doi.org/10.1306/a25ff215-171b-11d7-8645000102c1865d; https://majorprojects.alberta.ca/details/Origins-Carbon-Sequestration-Hub-Project/8539
Boundary Dam Integrated CCS (BD3),Williston Basin,Intracratonic basin,"The Williston Basin is a structural basin overlying the cratonic platform of North America, with Paleozoic carbonate and clastic reservoirs. BD3 captures CO₂ from a coal-fired power plant near Estevan, Saskatchewan.",https://rock.geosociety.org/net/gsatoday/archive/14/7/pdf/gt0407.pdf,CO₂ capture + EOR (Weyburn-Midale) + saline aquifer injection (Aquistore),"CO₂ sent to: Midale Beds (~1,450 m, Mississippian) and Deadwood Fm / Black Island Mb (~3,130 m, Cambro-Ordovician)",Operational (capture since Oct 2014; >7.3 Mt captured through Dec 2025),SaskPower (capture); Whitecap Resources / PTRC (storage),"N/A (capture facility; injection at Weyburn ~1,450 m and Aquistore ~3,130 m)",N/A (capture facility; see Aquistore and Weyburn rows for storage properties),N/A (capture facility; see Aquistore and Weyburn rows),N/A (capture facility),N/A (capture facility),N/A (capture facility),"7,327,868 t cumulative CO₂ captured (Oct 2014-Dec 2025); design 1 Mtpa (de-rated from 1.6 Mtpa) [https://ptrc.ca/aquistore]",N/A (capture facility),https://ptrc.ca/aquistore; https://www.saskpower.com/projects/carbon-capture-and-storage
Aquistore CCS Research Project,Williston Basin,Intracratonic basin,"Williston Basin — intracratonic, onshore setting; targeting the Deadwood Formation / Black Island Member (Cambro-Ordovician) at ~3.1-3.4 km depth near Estevan, SK.",https://doi.org/10.1016/j.egypro.2014.11.320,CCS — deep saline aquifer storage (NOT EOR; research/demo),Deadwood Formation / Black Island Member (Cambro-Ordovician saline aquifer),"Operational Research/Demo (injection Apr 2015-ongoing; >585,000 t stored)",Petroleum Technology Research Centre (PTRC) / SaskPower,"3,130 m (reservoir top); gross reservoir ~290 m [https://doi.org/10.1190/geo2016-0488.1]","6-11% site-specific; best estimate 7% (log-based, injection interval); 10-15% in perforated zones [https://doi.org/10.1190/geo2016-0488.1]",5 mD (core plug avg); ~70-88 mD (effective reservoir-scale); 20-150 mD field-scale effective [https://doi.org/10.1190/geo2016-0488.1],~112 m (51% NTG of 219 m mean thickness); perforated interval ~200 m [https://geoconvention.com/wp-content/uploads/abstracts/2021/67360-closing-the-loop.pdf],"119-120°C (far-field); 112.8°C at 3,173 m [https://papers.acg.uwa.edu.au/d/1508_52_Zambrano-Narvaez/]",34.1-35 MPa (initial reservoir); fracture ~48 MPa; BHP <42 MPa [https://papers.acg.uwa.edu.au/d/1508_52_Zambrano-Narvaez/],"8.4-27.1 Mt (P10-P90 static, 34 km² model area); >585,000 t stored through ~2024 [https://doi.org/10.2172/1874344]",34 km² (fine-scale simulation model / 3D seismic survey area) [https://doi.org/10.2172/1874434],https://doi.org/10.1016/j.egypro.2014.11.320; https://doi.org/10.1016/j.ijggc.2016.10.001; https://doi.org/10.1016/j.ijggc.2018.02.009; https://doi.org/10.1190/geo2016-0488.1; https://doi.org/10.2118/196118-ms; https://doi.org/10.2172/1874344; https://doi.org/10.2172/1874434; https://papers.acg.uwa.edu.au/d/1508_52_Zambrano-Narvaez/; https://ptrc.ca/aquistore; https://geoconvention.com/wp-content/uploads/abstracts/2021/67360-closing-the-loop.pdf
