Basin Name,Polygon,Split Poly,Basin UBI,Longitude,Latitude,Basin Type,Salt,Volcanics,Region,Countries,Setting,Geo Period,Geo Age,Age Old,Age Young,Max Sed St,Mean Sed S,Med Sed St,Mean Sed L,Med Sed La,Max Sed La,Poly Area,Moho Mean,Moho Med k,Moho Max k,Moho Min k,Perm Salt,Tri Salt,Jur Salt,Cret Salt,Salt Fm(s),Salt Per.,Salt Ages,Evap Numb
Aaiun-Tarfaya,1.00000,No,"1",-15.444490000000000,24.769439999999999,Passive Margin,Mobile,Extrusive,Africa,"Western Sahara, Spain, Morocco, Mauritania",On-Offshore,Cambrian,Cambrian Lower,542.00,0.00,14.414999999999999,8.934220772686832,9.816000000000001,5.181034486869286,5.500000000000000,9.000000000000000,"332735",-26.393103533777698,-27.000000000000000,-12.119999885559082,-40.770000457763672,None,Mobile,None,None,Carnian-Rhaetian,Triassic,Carnian-Rhaetian,"1"
Algerian,17.00000,No,"17",6.704860000000000,37.282130000000002,Passive Margin,Mobile,Extrusive,Africa,"Algeria, Tunisia, Italy",On-Offshore,Pennsylvanian,Bashkirian,323.20,0.00,5.457701000000000,4.147592924346629,4.416892000000000,2.225000023841858,2.350000023841858,2.700000047683716,"69848",-23.000000000000000,-22.500000000000000,-21.059999465942383,-25.940000534057617,None,None,None,None,Messinian,Miocene,Messinian,"1"
Barbados,65.00000,No,"64",-60.303780000000003,14.099270000000001,Fold and Thrust Belt,Unknown,Unknown,Central America,"Barbados, Martinique, Antigua and Barbuda, St. Vincent and Grenadines",On-Offshore,Cretaceous,Barremian,129.40,0.00,18.128000000000000,8.392036588332354,8.321999999999999,6.945454543287104,6.000000000000000,17.500000000000000,"147920",-23.134545586325910,-23.860000610351562,-18.920000076293945,-29.579999923706055,Unknown,Unknown,Unknown,Unknown,,,,
Barreirinhas-Para-Maranhao,68.00000,No,"67",-43.931310000000003,-1.581140000000000,Passive Margin,Bedded,Extrusive,South America,Brazil,On-Offshore,Devonian,Lochkovian,419.20,0.00,6.006000000000000,3.403888368205129,3.497000000000000,2.688333332538605,2.674999952316284,4.349999904632569,"233029",-27.988888740539551,-28.500000000000000,-15.000000000000000,-40.970001220703125,None,None,None,Bedded,Codo,Cretaceous,Aptian-Albian,"1"
Bengal,77.00000,No,"76",89.602220000000003,18.873870000000000,Passive Margin,None,Extrusive,Asia,"India, Myanmar, Bangladesh",On-Offshore,Pennsylvanian,Bashkirian,323.20,0.00,16.172000000000001,7.603256275352830,8.000999999999999,6.025859861332140,5.829999923706056,15.609999656677246,"1945249",-20.776879061559203,-17.000000000000000,-12.010000228881836,-39.889999389648438,None,None,None,None,,,,"0"
Bight-Eucla,86.00000,No,"85",129.509850000000000,-32.541300000000000,Passive Margin,None,None,South Pacific,Australia,On-Offshore,Jurassic,Oxfordian,163.50,0.00,8.635999999999999,2.640076710794300,1.740000000000000,1.630151511254636,1.000000000000000,8.899999618530273,"805950",-32.052272970026188,-33.805000305175781,-15.500000000000000,-43.150001525878906,None,None,None,None,,,,"0"
Blake Plateau-Carolina Trough,91.00000,No,"90",-79.310879999999997,31.040289999999999,Passive Margin,Mobile,Unknown,North America,"USA, Bahamas",On-Offshore,Silurian,Pridolian,423.00,0.00,13.195000000000000,5.937334111456100,5.896000000000000,4.400000017757218,3.250000000000000,11.250000000000000,"628063",-30.358124931653339,-30.000000000000000,-17.049999237060547,-40.549999237060547,None,None,Mobile,None,Hettangian-Callovian,Jurassic,Hettangian-Callovian,"1"
Bove,103.00000,No,"102",-15.634560000000000,9.696240000000000,Passive Margin,Mobile,Extrusive,Africa,"Guinea, Guinea-Bissau, Sierra Leone",On-Offshore,Proterozoic,Neoproterozoic,1000.00,0.00,11.342000000000001,5.684156984732362,6.135000000000000,2.549999972184499,2.500000000000000,5.199999809265138,"146849",-26.666666666666668,-26.000000000000000,-21.000000000000000,-30.000000000000000,None,Mobile,Mobile,None,Carnian-Toarcian,"Tri., Jur.",Carnian-Toarcian,"1"
Burdwood,113.00000,No,"112",-57.502090000000003,-54.140970000000003,Strike-Slip,Unknown,Unknown,South America,"Falkland Islands, Argentina",On-Offshore,Cretaceous,Santonian,86.30,0.00,7.901999000000000,4.024674127360776,4.372000000000000,4.033750016242266,3.960000038146973,6.909999847412110,"215349",-23.116249978542328,-25.500000000000000,-13.399999618530273,-30.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Cadiz,115.00000,No,"114",-7.667640000000000,36.304400000000001,Passive Margin,Mobile,Unknown,Europe,"Portugal, Spain, Morocco",On-Offshore,Triassic,Induan,252.17,0.00,6.213000000000000,4.332539835947704,5.339500000000000,3.975000023841858,3.500000000000000,6.150000095367432,"82352",-24.605000019073486,-26.390000343322750,-16.170000076293945,-29.469999313354492,None,Mobile,Mobile,None,Rhaetian-Hettangian,"Tri., Jur.",Rhaetian-Hettangian,"1"
